Tryk hPa,Temperatur C,M�ling nr.,Afstand fra overflade (1m +),pC,nc
1013.3,23,1,1.5,1850,18.50
1013.3,24.0,2,1.7,1856,18.56
,,3,1.9,1842,18.42
,,4,2.1,1839,18.39
,,5,2.3,1813,18.13
,,6,2.5,1810,18.10
,,7,2.7,1784,17.84
,,8,2.9,1778,17.78
,,9,3.1,1759,17.59
,,10,3.3,1751,17.51
,,11,3.5,1730,17.30
,,12,3.7,1721,17.21 
,,13,3.9,1694,16.94
,,14,4.1,1688,16.88
,,15,4.3 ,1665,16.65
,,16,4.8,1632,16.32
,,17,5.3,1584,15.84
,,18,5.8,1555,15.55
,,19,6.3,1506,15.06
,,20,6.8,1476,14.76
,,21,7.3,1433,14.33
,,22,7.8,1404,14.04
,,23,8.3,1360,13.60
,,24,8.8,1332,13.32
,,25,9.3,1290,12.90
,,26,9.8,1261,12.61
,,27,10.3,1220,12.20
,,28,11.3,1161,11.61
,,29,12.3,1094,10.94
,,30,13.3,1043,10.43
,,31,14.3,978,9.78
,,32,15.3,926,9.26
